 ID,Gene.symbol,Gene.title,log2Exp,log2FC
220227_at,CDH4,cadherin 4,6.604,-2.544
220231_at,PPP1R17,protein phosphatase 1 regulatory subunit 17,5.354,-1.101
220232_at,SCD5,stearoyl-CoA desaturase 5,6.174,-1.374
220243_at,ZBTB44,zinc finger and BTB domain containing 44,2.678,-1.431
220248_x_at,NSFL1C,NSFL1 cofactor,9.428,-1.017
220262_s_at,DLK2,delta like non-canonical Notch ligand 2,6.622,-2.745
220271_x_at,EFCAB6,EF-hand calcium binding domain 6,3.227,-1.941
220274_at,IQCA1,IQ motif containing with AAA domain 1,4.699,-2.83
220286_at,MTMR10,myotubularin related protein 10,2.839,-1.225
220287_at,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,6.19,-1.017
220289_s_at,AIM1L,absent in melanoma 1-like,6.387,-3.672
220305_at,MAVS,mitochondrial antiviral signaling protein,8.218,-2.165
220307_at,CD244,CD244 molecule,2.797,-1.292
220318_at,EPN3,epsin 3,4.667,-4.722
220322_at,IL36G,"interleukin 36, gamma",5.033,-1.485
220330_s_at,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1",4.5,-3.211
220340_at,GREB1L,growth regulation by estrogen in breast cancer 1 like,6.176,-2.188
220341_s_at,C5orf45,chromosome 5 open reading frame 45,7.427,-2.031
220344_at,C11orf16,chromosome 11 open reading frame 16,3.07,-2.021
220356_at,CORIN,"corin, serine peptidase",3.459,-1.823
220362_at,PSORS1C1,psoriasis susceptibility 1 candidate 1,4.016,-2.833
220363_s_at,ELMO2,engulfment and cell motility 2,5.526,2.581
220364_at,EPB41L4A-AS2,EPB41L4A antisense RNA 2 (head to head),3.623,-2.551
220373_at,DCHS2,dachsous cadherin-related 2,2.799,-1.45
220379_at,FSCN3,fascin actin-bundling protein 3,5.84,-1.24
220385_at,JPH2,junctophilin 2,1.613,-1.106
220392_at,EBF2,early B-cell factor 2,1.557,-1.741
220420_at,LMAN1L,"lectin, mannose binding 1 like",3.318,-1.215
220421_at,BTNL8,butyrophilin like 8,2.314,-1.455
220423_at,PLA2G2D,phospholipase A2 group IID,2.172,-1.588
220426_at,FNDC11,fibronectin type III domain containing 11,2.5,-1.789
220430_at,FAM110D,family with sequence similarity 110 member D,2.354,-1.294
220444_at,ZNF557,zinc finger protein 557,5.886,-1.37
220447_at,HRH3,histamine receptor H3,1.185,-1.37
220454_s_at,SEMA6A,semaphorin 6A,3.074,-2.805
220461_at,PCNX2,pecanex homolog 2 (Drosophila),2.545,-1.753
220463_at,TRPM3,transient receptor potential cation channel subfamily M member 3,5.685,-1.387
220468_at,ARL14,ADP ribosylation factor like GTPase 14,6.909,4.108
220475_at,SLC28A3,solute carrier family 28 member 3,5.223,-1.942
220478_at,APOL5,apolipoprotein L5,2.886,-1.324
220485_s_at,SIRPG,signal regulatory protein gamma,2.394,-2.819
220486_x_at,LOC101928589///TMEM164,uncharacterized LOC101928589///transmembrane protein 164,8.889,-1.065
220492_s_at,OTOF,otoferlin,1.393,-1.522
220495_s_at,TXNDC15,thioredoxin domain containing 15,10.082,-1.44
220497_at,ZNF214,zinc finger protein 214,4.588,-2.183
220501_at,ACTL7A,actin like 7A,2.101,-1.419
220510_at,RHBG,Rh family B glycoprotein (gene/pseudogene),3.453,-2.183
220514_at,,,2.659,-1.136
220528_at,VNN3,vanin 3,1.95,-1.46
220531_at,,,1.266,-1.39
220533_at,,,5.676,-1.473
220534_at,LOC101930235///TRIM49D2///TRIM49D1///TRIM48,tripartite motif-containing protein 49D1-like///tripartite motif containing 49D2///tripartite motif containing 49D1///tripartite motif containing 48,4.711,-1.597
220538_at,ADM2,adrenomedullin 2,3.908,-1.722
220558_x_at,TSPAN32,tetraspanin 32,5.805,-1.479
220561_at,IGF2-AS,IGF2 antisense RNA,3.493,-1.126
220563_s_at,SHANK1,SH3 and multiple ankyrin repeat domains 1,4.346,-1.253
220567_at,IKZF2,IKAROS family zinc finger 2,4.154,-2.456
220573_at,KLK14,kallikrein related peptidase 14,2.11,-1.422
220580_at,BICC1,BicC family RNA binding protein 1,5.815,-1.206
220599_s_at,CARD14,caspase recruitment domain family member 14,4.205,-2.701
220600_at,ELP6,elongator acetyltransferase complex subunit 6,5.411,-1.413
220601_at,C16orf70,chromosome 16 open reading frame 70,2.414,-1.419
220602_s_at,LOC101929479///LOC727751///LOC642423///GOLGA2P7///GOLGA2P10,golgin subfamily A member 2///golgin A2 pseudogene///golgin A2 pseudogene///golgin A2 pseudogene 7///golgin A2 pseudogene 10,7.234,-1.341
220611_at,DAB1,"DAB1, reelin adaptor protein",1.756,-1.745
220618_s_at,ZCWPW1,zinc finger CW-type and PWWP domain containing 1,5.369,2.759
220620_at,CRCT1,cysteine rich C-terminal 1,4.27,-4.414
220626_at,SERPINA10,serpin family A member 10,2.908,-1.663
220627_at,CST8,cystatin 8,3.786,-2.228
220638_s_at,CBLC,Cbl proto-oncogene C,4.096,-4.945
220640_at,CSNK1G1,casein kinase 1 gamma 1,3.541,-2.224
220643_s_at,FAIM,Fas apoptotic inhibitory molecule,8.858,1.5
220653_at,ZIM2///PEG3,zinc finger imprinted 2///paternally expressed 3,6.537,-1.097
220661_s_at,ZNF692,zinc finger protein 692,8.917,-1.469
220671_at,NOCT,nocturnin,5.628,-1.234
220672_at,PPP4R4,protein phosphatase 4 regulatory subunit 4,5.519,-1.991
220673_s_at,PPP4R4,protein phosphatase 4 regulatory subunit 4,1.636,-1.635
220674_at,CD22,CD22 molecule,2.681,-1.868
220677_s_at,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,4.367,-1.659
220681_at,PRR34,proline rich 34,2.984,-2.196
220690_s_at,DHRS7B,dehydrogenase/reductase 7B,8.957,-1.136
220704_at,IKZF1,IKAROS family zinc finger 1,1.34,-2.65
220710_at,ANP32A-IT1,ANP32A intronic transcript 1,5.549,-1.195
220712_at,C8orf60,chromosome 8 open reading frame 60,7.029,-1.046
220725_x_at,DNAH3,dynein axonemal heavy chain 3,7.144,-1.173
220732_at,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",4.5,-1.885
220733_at,SLC26A1,solute carrier family 26 member 1,1.725,-1.185
220734_s_at,CPTP,ceramide-1-phosphate transfer protein,6.971,-1.672
220737_at,RPS6KA6,ribosomal protein S6 kinase A6,5.35,-1.673
220740_s_at,SLC12A6,solute carrier family 12 member 6,6.534,-1.768
220744_s_at,LOC101927266///IFT122,intraflagellar transport protein 122 homolog///intraflagellar transport 122,7.466,1.862
220746_s_at,UIMC1,ubiquitin interaction motif containing 1,9.336,-1.362
220758_s_at,ROBO4,roundabout guidance receptor 4,6.209,-1.21
220759_at,EDDM3B,epididymal protein 3B,1.395,-1.596
220761_s_at,TAOK3,TAO kinase 3,9.59,-1.388
220762_s_at,GNB1L,G protein subunit beta 1 like,5.783,1.383
220777_at,KIF13A,kinesin family member 13A,5.188,-3.866
220783_at,MMP27,matrix metallopeptidase 27,5.798,-1.194
220802_at,KCNH4,potassium voltage-gated channel subfamily H member 4,2.972,-2.071
220804_s_at,TP73,tumor protein p73,1.104,-1.607
220808_at,THEG,theg spermatid protein,2.779,-2.384
220811_at,PRG3,"proteoglycan 3, pro eosinophil major basic protein 2",3.324,-2.237
220816_at,LPAR3,lysophosphatidic acid receptor 3,5.636,-2.117
220817_at,TRPC4,transient receptor potential cation channel subfamily C member 4,4.49,3.548
220825_s_at,KIRREL,kin of IRRE like (Drosophila),2.367,-1.234
220834_at,MS4A12,membrane spanning 4-domains A12,2.857,-1.939
220838_at,EXD3,exonuclease 3'-5' domain containing 3,6.933,-1.05
220849_at,LOC79999,uncharacterized LOC79999,4.425,-2.087
220852_at,FOXN3-AS2,FOXN3 antisense RNA 2,3.716,-2.027
220853_at,GTDC1,glycosyltransferase like domain containing 1,6.123,-1.011
220857_at,,,5.108,-1.589
220871_at,,,4.613,-1.26
220875_at,,,5.609,-1.282
220876_at,,,1.868,-1.593
220879_at,,,5.279,-1.252
220881_at,,,5.079,-1.199
220884_at,,,2.766,-2.208
220886_at,GABRQ,gamma-aminobutyric acid type A receptor theta subunit,3.981,-1.859
220902_at,,,4.005,-2.009
220905_at,,,5.823,-1.35
220911_s_at,NYNRIN,NYN domain and retroviral integrase containing,4.68,2.124
220916_at,,,3.781,-1.563
220933_s_at,ZCCHC6,zinc finger CCHC-type containing 6,8.867,-1.232
220944_at,PGLYRP4,peptidoglycan recognition protein 4,6.425,-1.003
220948_s_at,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,11.025,-1.04
220949_s_at,C7orf49,chromosome 7 open reading frame 49,9.658,-1.178
220951_s_at,A1CF,APOBEC1 complementation factor,6.505,-1.635
220965_s_at,RSPH6A,radial spoke head 6 homolog A,4.913,-2.448
220988_s_at,C1QTNF3,C1q and tumor necrosis factor related protein 3,6.369,1.569
220991_s_at,RNF32,ring finger protein 32,4.964,1.238
221002_s_at,TSPAN14,tetraspanin 14,8.031,-2.517
221005_s_at,PTDSS2,phosphatidylserine synthase 2,7.71,-1.205
221009_s_at,ANGPTL4,angiopoietin like 4,7.332,-3.024
221013_s_at,APOL2,apolipoprotein L2,5.317,-1.759
221015_s_at,CDADC1,cytidine and dCMP deaminase domain containing 1,5.032,-1.318
221016_s_at,TCF7L1,transcription factor 7 like 1,6.705,-3.752
221034_s_at,TEX13B,testis expressed 13B,2.587,-2.79
221042_s_at,CLMN,calmin,7.152,-1.865
221043_at,,,2.992,-2.29
221044_s_at,TRIM6-TRIM34///TRIM34,TRIM6-TRIM34 readthrough///tripartite motif containing 34,7.488,-2.287
221047_s_at,MARK1,microtubule affinity regulating kinase 1,6.705,-2.945
221050_s_at,GTPBP2,GTP binding protein 2,8.437,-1.306
221051_s_at,NMRK2,nicotinamide riboside kinase 2,3.878,-2.094
221052_at,TDRKH,tudor and KH domain containing,6.027,-1.25
221058_s_at,CKLF,chemokine like factor,8.988,1.221
221061_at,PKD2L1,"polycystin 2 like 1, transient receptor potential cation channel",6.502,-1.806
221063_x_at,RNF123,ring finger protein 123,8.166,-1.155
221066_at,RXFP3,relaxin/insulin like family peptide receptor 3,1.558,-1.004
221067_s_at,SPX,spexin hormone,5.176,-2.987
221073_s_at,NOD1,nucleotide binding oligomerization domain containing 1,7.878,-1.137
221084_at,HTR3B,5-hydroxytryptamine receptor 3B,3.683,-1.82
221085_at,TNFSF15,tumor necrosis factor superfamily member 15,4.817,-1.341
221097_s_at,KCNMB2,potassium calcium-activated channel subfamily M regulatory beta subunit 2,5.964,-1.454
221105_at,,,2.186,-2.248
221106_at,SLC22A17,solute carrier family 22 member 17,5.071,-1.474
221108_at,DRICH1,aspartate rich 1,3.007,-1.42
221112_at,IL1RAPL2,interleukin 1 receptor accessory protein like 2,5.75,-1.526
221117_at,,,1.488,-1.664
221119_at,ARHGEF38,Rho guanine nucleotide exchange factor 38,5.315,-1.577
221120_at,,,4.733,-1.728
221125_s_at,KCNMB3,potassium calcium-activated channel subfamily M regulatory beta subunit 3,6.86,1.523
221127_s_at,DKK3,dickkopf WNT signaling pathway inhibitor 3,5.83,-3.499
221131_at,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",5.012,-1.81
221132_at,CLDN18,claudin 18,1.952,-1.424
221136_at,GDF2,growth differentiation factor 2,5.228,-1.772
221139_s_at,CSAD,cysteine sulfinic acid decarboxylase,8.391,-1.26
221141_x_at,EPN1,epsin 1,3.729,-3.067
221154_at,TRIM49C///TRIM49,tripartite motif containing 49C///tripartite motif containing 49,4.707,-1.279
221161_at,ASCL3,achaete-scute family bHLH transcription factor 3,5.474,-1.478
221168_at,PRDM13,PR/SET domain 13,6.856,4.58
221169_s_at,HRH4,histamine receptor H4,4.682,-1.017
221183_at,LOC100507388,uncharacterized LOC100507388,3.18,-1.768
221194_s_at,TBC1D3P1-DHX40P1///RNFT1,"TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene///ring finger protein, transmembrane 1",6.103,2.28
221199_at,GFRA4,GDNF family receptor alpha 4,2.575,-1.372
221215_s_at,RIPK4,receptor interacting serine/threonine kinase 4,9.272,-1.389
221223_x_at,CISH,cytokine inducible SH2 containing protein,6.988,-1.134
221225_at,DCAKD,dephospho-CoA kinase domain containing,2.5,-2.068
221226_s_at,ASIC4,acid sensing ion channel subunit family member 4,2.171,-1.785
221228_s_at,,,2.003,-1.287
221246_x_at,TNS1,tensin 1,4.041,-2.978
221251_x_at,INO80B-WBP1///INO80B,INO80B-WBP1 readthrough (NMD candidate)///INO80 complex subunit B,4.488,1.404
221254_s_at,PITPNM3,PITPNM family member 3,0.521,-1.33
221260_s_at,CSRNP2,cysteine and serine rich nuclear protein 2,8.242,-1.183
221269_s_at,SH3BGRL3,SH3 domain binding glutamate rich protein like 3,10.355,-1.344
221272_s_at,C1orf21,chromosome 1 open reading frame 21,5.666,-1.377
221276_s_at,SYNC,"syncoilin, intermediate filament protein",5.414,-1.246
221282_x_at,RUNX2,runt related transcription factor 2,2.426,-1.503
221283_at,RUNX2,runt related transcription factor 2,3.221,-2.37
221285_at,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",1.252,-1.318
221286_s_at,MZB1,marginal zone B and B1 cell specific protein,3.081,-2.089
221292_at,PTCH2,patched 2,3.16,-1.424
221294_at,GPR21,G protein-coupled receptor 21,5.744,-1.059
221296_at,TECTA,tectorin alpha,2.814,-2.375
221297_at,GPRC5D,G protein-coupled receptor class C group 5 member D,6.088,-1.249
221298_s_at,SLC22A8,solute carrier family 22 member 8,2.64,-2.248
221301_at,VWA7,von Willebrand factor A domain containing 7,1.726,-1.752
221311_x_at,LYRM2,LYR motif containing 2,8.589,1.534
221321_s_at,KCNIP2,potassium voltage-gated channel interacting protein 2,3.813,-2.221
221322_at,NPVF,neuropeptide VF precursor,3.371,-1.968
221327_s_at,OPN1MW3///OPN1MW2///OPN1LW///OPN1MW,"opsin 1 (cone pigments), medium-wave-sensitive 3///opsin 1 (cone pigments), medium-wave-sensitive 2///opsin 1 (cone pigments), long-wave-sensitive///opsin 1 (cone pigments), medium-wave-sensitive",2.355,-1.362
221332_at,BMP15,bone morphogenetic protein 15,6.291,-1.331
221337_s_at,LOC101928551///ADAM29,uncharacterized LOC101928551///ADAM metallopeptidase domain 29,3.626,-1.803
221342_at,C6orf25,chromosome 6 open reading frame 25,3.151,-2.06
221344_at,OR12D2,olfactory receptor family 12 subfamily D member 2 (gene/pseudogene),5.21,-1.454
221347_at,CHRM5,cholinergic receptor muscarinic 5,4.531,-1.962
221348_at,NPPC,natriuretic peptide C,1.288,-2.564
221353_at,OR3A1,olfactory receptor family 3 subfamily A member 1,1.675,-1.151
221354_s_at,MCHR1,melanin concentrating hormone receptor 1,1.975,-1.884
221357_at,CHRM4,cholinergic receptor muscarinic 4,3.965,-2.224
221361_at,OMP,olfactory marker protein,1.347,-1.165
221367_at,MOS,v-mos Moloney murine sarcoma viral oncogene homolog,4.893,-1.44
221370_at,ZNF717,zinc finger protein 717,3.419,-2.001
221371_at,TNFSF18,tumor necrosis factor superfamily member 18,5.6,-1.305
221374_at,FGF16,fibroblast growth factor 16,4.482,-2.094
221379_at,,,4.621,-1.654
221382_at,,,5.667,-1.876
221385_s_at,GPR42///FFAR3,G protein-coupled receptor 42 (gene/pseudogene)///free fatty acid receptor 3,2.103,-1.477
221390_s_at,ASB12///MTMR8,ankyrin repeat and SOCS box containing 12///myotubularin related protein 8,3.549,-2.597
221398_at,TAS2R8,taste 2 receptor member 8,1.295,-1.873
221400_at,MYO3A,myosin IIIA,3.663,-1.979
221402_at,OR1F1,olfactory receptor family 1 subfamily F member 1,5.824,-1.43
221411_at,HOXD12,homeobox D12,1.165,-1.089
221417_x_at,S1PR5,sphingosine-1-phosphate receptor 5,1.089,-1.212
221421_s_at,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,5.673,-1.058
221429_x_at,TEX13A,testis expressed 13A,4.722,-1.332
221439_at,RBBP9,"RB binding protein 9, serine hydrolase",2.784,-1.59
221442_at,MC3R,melanocortin 3 receptor,3.978,-2.229
221443_x_at,PRLH,prolactin releasing hormone,4.728,-2.38
221444_at,TAS2R16,taste 2 receptor member 16,5.345,-1.085
221447_s_at,GLT8D2,glycosyltransferase 8 domain containing 2,6.155,-3.92
221449_s_at,ITFG1,integrin alpha FG-GAP repeat containing 1,9.692,-1.559
221453_at,G6PC2,glucose-6-phosphatase catalytic subunit 2,4.84,-2.451
221464_at,OR1D2,olfactory receptor family 1 subfamily D member 2,6.135,-1.014
221466_at,P2RY4,pyrimidinergic receptor P2Y4,5.71,-1.216
221468_at,XCR1,X-C motif chemokine receptor 1,3.466,-1.723
221471_at,SERINC3,serine incorporator 3,10.997,-1.098
221479_s_at,BNIP3L,BCL2 interacting protein 3 like,9.525,-1.048
221500_s_at,STX16,syntaxin 16,10.527,-1.12
221501_x_at,LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1,"polycystin-1-like///nuclear pore complex interacting protein family member A8///nuclear pore complex interacting protein family member A7///nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member A2///nuclear pore complex interacting protein family member A3///polycystin 1, transient receptor potential channel interacting pseudogene 1///nuclear pore complex interacting protein family member A1",11.122,-1.018
221504_s_at,ATP6V1H,ATPase H+ transporting V1 subunit H,10.223,-1.036
221519_at,FBXW4,F-box and WD repeat domain containing 4,7.567,-1.372
221538_s_at,PLXNA1,plexin A1,9.557,-1.645
221542_s_at,ERLIN2,ER lipid raft associated 2,7.664,-1.43
221543_s_at,ERLIN2,ER lipid raft associated 2,9.354,-1.891
221546_at,PRPF18,pre-mRNA processing factor 18,3.838,-1.737
221557_s_at,LEF1,lymphoid enhancer binding factor 1,3.186,-1.756
221572_s_at,MIR6824///SLC26A6,microRNA 6824///solute carrier family 26 member 6,7.739,-1.734
221573_at,C7orf25///PSMA2,chromosome 7 open reading frame 25///proteasome subunit alpha 2,8.126,-1
221583_s_at,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,4.788,-2.271
221586_s_at,E2F5,E2F transcription factor 5,7.823,1.706
221596_s_at,RBM48,RNA binding motif protein 48,8.235,1.358
221618_s_at,TAF9B,TATA-box binding protein associated factor 9b,6.118,2.823
221624_at,TCL6,T-cell leukemia/lymphoma 6 (non-protein coding),4.242,-1.809
221639_x_at,LOC102723559,uncharacterized LOC102723559,5.606,-1.534
221647_s_at,MIR6743///RIC8A,microRNA 6743///RIC8 guanine nucleotide exchange factor A,9.91,-1.187
221651_x_at,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant,4.348,-1.609
221662_s_at,SLC22A7,solute carrier family 22 member 7,4.599,-2.726
221666_s_at,PYCARD,PYD and CARD domain containing,5.736,-5.141
221670_s_at,LHX3,LIM homeobox 3,6.348,-1.415
221692_s_at,MRPL34,mitochondrial ribosomal protein L34,9.307,1.378
221710_x_at,EVA1B,eva-1 homolog B,6.588,1.536
221722_x_at,LZTS1,leucine zipper tumor suppressor 1,1.135,-1.204
221723_s_at,SLC4A5,solute carrier family 4 member 5,2.483,-3.965
221728_x_at,XIST,X inactive specific transcript (non-protein coding),7.135,-6.858
221738_at,RALGAPB,Ral GTPase activating protein non-catalytic beta subunit,7.772,-1.655
221745_at,DCAF7,DDB1 and CUL4 associated factor 7,4.757,-1.513
221750_at,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,10.455,-1.551
221756_at,PIK3IP1,phosphoinositide-3-kinase interacting protein 1,6.627,-1.314
221769_at,SPSB3,splA/ryanodine receptor domain and SOCS box containing 3,6.302,-1.393
221774_x_at,SUPT20H,"SPT20 homolog, SAGA complex component",7.999,-1.184
221777_at,RITA1,RBPJ interacting and tubulin associated 1,7.776,2.729
221778_at,KDM7A,lysine demethylase 7A,7.601,-2.253
221779_at,MICALL1,MICAL like 1,8.851,-2.716
221781_s_at,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10,9.705,-1.234
221782_at,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10,10.054,-1.12
221784_at,WIZ,widely interspaced zinc finger motifs,4.226,-1.99
221785_at,WIZ,widely interspaced zinc finger motifs,5.547,-1.057
221794_at,DOCK6,dedicator of cytokinesis 6,7.269,-1.366
221810_at,RAB15,"RAB15, member RAS oncogene family",6.48,2.744
221813_at,FBXO42,F-box protein 42,8.116,-1.467
221827_at,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,10.575,-2.092
221831_at,LUZP1,leucine zipper protein 1,8.053,-1.84
221832_s_at,LUZP1,leucine zipper protein 1,8.426,-2.353
221833_at,LOC100507577///LONP2///SIAH1,"uncharacterized LOC100507577///lon peptidase 2, peroxisomal///siah E3 ubiquitin protein ligase 1",7.163,-1.52
221834_at,LOC100507577///LONP2,"uncharacterized LOC100507577///lon peptidase 2, peroxisomal",7.824,-1.385
221835_at,DTX3,deltex E3 ubiquitin ligase 3,3.609,-1.452
221843_s_at,TLDC1,TBC/LysM-associated domain containing 1,8.599,-2.362
221844_x_at,SPCS3,signal peptidase complex subunit 3,10.994,-1.307
221853_s_at,LOC101060373///NOMO3///NOMO2///NOMO1,uncharacterized LOC101060373///NODAL modulator 3///NODAL modulator 2///NODAL modulator 1,10.665,-1.099
221854_at,PKP1,plakophilin 1,4.234,-9.396
221861_at,ARRB1,arrestin beta 1,6.845,2.604
221862_at,MIER2,MIER family member 2,6.052,-1.385
221863_at,MIER2,MIER family member 2,2.465,-1.878
221864_at,ORAI3,ORAI calcium release-activated calcium modulator 3,8.174,-2.023
221866_at,TFEB,transcription factor EB,5.082,-2.022
221867_at,N4BP1,NEDD4 binding protein 1,7.059,-1.509
221870_at,EHD2,EH domain containing 2,8.077,-3.573
221876_at,ZNF783,zinc finger family member 783,7.669,1.162
221881_s_at,CLIC4,chloride intracellular channel 4,7.153,-1.755
221898_at,PDPN,podoplanin,4.153,-7.309
221899_at,N4BP2L2,NEDD4 binding protein 2 like 2,10.381,-1.614
221902_at,GPR153,G protein-coupled receptor 153,6.722,-2.934
221903_s_at,CYLD,CYLD lysine 63 deubiquitinase,7.921,-1.62
221904_at,FAM131A,family with sequence similarity 131 member A,8.374,-1.185
221909_at,RNFT2,"ring finger protein, transmembrane 2",7.016,2.442
221911_at,ETV1,ETS variant 1,6.01,4.206
221929_at,,,5.817,-1.289
221934_s_at,DALRD3,DALR anticodon binding domain containing 3,8.418,-1.049
221935_s_at,EOGT,EGF domain specific O-linked N-acetylglucosamine transferase,9.11,-1.823
221948_s_at,KLHL22,kelch like family member 22,2.966,-1.781
221949_at,UBE2D4,ubiquitin conjugating enzyme E2 D4 (putative),6.215,1.708
221966_at,GPR137,G protein-coupled receptor 137,4.955,-1.474
221967_at,NXPH4,neurexophilin 4,5.69,-2.109
221968_s_at,ZNF771,zinc finger protein 771,1.844,-1.202
221980_at,EMILIN2,elastin microfibril interfacer 2,4.442,1.525
221990_at,PAX8,paired box 8,5.941,-1.304
222008_at,COL9A1,collagen type IX alpha 1 chain,2.06,-1.189
222012_at,DCAF15,DDB1 and CUL4 associated factor 15,2.24,-1.288
222015_at,CSNK1E,casein kinase 1 epsilon,6.196,-3.454
222018_at,NACA,nascent polypeptide-associated complex alpha subunit,8.837,-1.506
222021_x_at,SDHAP2///SDHAP1,succinate dehydrogenase complex flavoprotein subunit A pseudogene 2///succinate dehydrogenase complex flavoprotein subunit A pseudogene 1,11.067,-1.279
222031_at,LOC389906,zinc finger protein 839 pseudogene,5.781,-1.645
222034_at,SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1",9.179,-1.803
222036_s_at,MCM4,minichromosome maintenance complex component 4,10.81,1.897
222038_s_at,UTP18,"UTP18, small subunit processome component",6.325,1.312
222041_at,OVCA2///DPH1,ovarian tumor suppressor candidate 2///diphthamide biosynthesis 1,6.928,-1.251
222049_s_at,RBP4,retinol binding protein 4,1.847,-1.272
222050_at,,,4.99,-1.462
222057_at,NOL12,nucleolar protein 12,6.102,-1.688
222058_at,RNF130,ring finger protein 130,5.689,-1.549
222059_at,ZNF335,zinc finger protein 335,1.748,-1.428
222061_at,CD58,CD58 molecule,6.763,-2.838
222062_at,IL27RA,interleukin 27 receptor subunit alpha,7.438,2.089
222071_s_at,SLCO4C1,solute carrier organic anion transporter family member 4C1,6.157,2.07
222076_at,HBEGF,heparin binding EGF like growth factor,2.31,-2.172
222083_at,GLYAT,glycine-N-acyltransferase,2.357,-1.111
222095_s_at,FAM163A,family with sequence similarity 163 member A,2.278,-1.731
222096_x_at,,,5.068,-2.336
222097_at,,,5.319,-1.421
222106_at,PRND,prion protein 2 (dublet),4.906,-1.366
222113_s_at,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,7.456,-1.292
222118_at,CENPN,centromere protein N,8.091,1.579
222136_x_at,ZNF729///ZNF43,zinc finger protein 729///zinc finger protein 43,6.992,2.832
222138_s_at,WDR13,WD repeat domain 13,8.561,-1.375
222139_at,ERV3-2,endogenous retrovirus group 3 member 2,5.636,-3.021
222145_at,,,4.21,-2.382
222173_s_at,TBC1D2,TBC1 domain family member 2,6.759,-2.742
222191_s_at,B4GALT7,"beta-1,4-galactosyltransferase 7",7.142,-1.296
222220_s_at,TSNAXIP1,translin associated factor X interacting protein 1,5.579,-1.367
222222_s_at,HOMER3,homer scaffolding protein 3,2.544,-1.36
222226_at,SAA3P,serum amyloid A3 pseudogene,3.226,-1.434
222227_at,,,4.321,-1.41
222234_s_at,DBNDD1,dysbindin domain containing 1,6.537,1.792
222238_s_at,POLM,DNA polymerase mu,6.16,-3.508
222239_s_at,INTS6,integrator complex subunit 6,8.18,-1.39
222242_s_at,KLK5,kallikrein related peptidase 5,5.81,-2.179
222251_s_at,GMEB2,glucocorticoid modulatory element binding protein 2,8.199,-1.275
222258_s_at,SH3BP4,SH3 domain binding protein 4,10.149,-1.437
222259_s_at,SPO11,"SPO11, initiator of meiotic double stranded breaks",2.685,-2.861
222270_at,PPP4R3B,protein phosphatase 4 regulatory subunit 3B,7.143,1.839
222271_at,,,5.11,-2.201
222280_at,TMEM147-AS1,TMEM147 antisense RNA 1,9.207,-1.659
222283_at,ZNF480,zinc finger protein 480,5.834,-1.196
222290_at,OR2A9P///OR2A20P,olfactory receptor family 2 subfamily A member 9 pseudogene///olfactory receptor family 2 subfamily A member 20 pseudogene,6.151,-1.5
222301_at,C1orf61,chromosome 1 open reading frame 61,6.17,-1.026
222321_at,AGTR2,angiotensin II receptor type 2,4.312,-2.011
222325_at,,,1.842,-3.112
222328_x_at,,,5.47,-1.141
222331_at,,,2.218,-1.403
222333_at,ALS2CL,ALS2 C-terminal like,7.427,-3.913
222336_at,SMIM14,small integral membrane protein 14,5.454,-1.243
222338_x_at,,,8.31,1.115
222340_at,,,5.523,-1.821
222348_at,MAST4,microtubule associated serine/threonine kinase family member 4,3.153,-4.501
222354_at,F11R,F11 receptor,6.777,-2.746
222356_at,,,3.921,-2.189
222363_at,,,2.946,-2.263
222371_at,,,7.892,-1.275
222374_at,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase,3.455,-2.384
222383_s_at,ALOXE3,arachidonate lipoxygenase 3,3.701,-4.672
222392_x_at,PERP,"PERP, TP53 apoptosis effector",12.078,-1.135
222411_s_at,SSR3,signal sequence receptor subunit 3,11.352,-1.283
222412_s_at,SSR3,signal sequence receptor subunit 3,9.994,-1.209
222422_s_at,NDFIP1,Nedd4 family interacting protein 1,8.761,-1.381
222423_at,NDFIP1,Nedd4 family interacting protein 1,9.704,-1.2
222429_at,MIR6837///DBNL,microRNA 6837///drebrin like,7.693,-1.348
